Airline Name,Flight Number,Plane Model,Boarding Time,Departure Time,Gate Number,Destination
Porter Airlines,PD591,Embraer E190,00:34:00,00:36:00,6,Chicago
Air Canada,PD200,ATR 72,00:36:00,00:38:00,1,Ottawa
Porter Airlines,PD196,Embraer E190,00:36:00,00:38:00,2,Ottawa
Porter Airlines,PD836,ATR 72,00:36:00,00:38:00,3,Washington
Air Canada,PD706,Embraer E190,00:37:00,00:38:00,4,Boston
Porter Airlines,PD827,ATR 72,00:37:00,00:40:00,5,Ottawa
Porter Airlines,PD892,Embraer E190,00:38:00,00:39:00,6,New York
Porter Airlines,PD741,ATR 72,00:40:00,00:43:00,1,Chicago
Porter Airlines,PD745,Embraer E190,00:40:00,00:42:00,2,Washington
Porter Airlines,PD910,ATR 72,00:40:00,00:43:00,3,Chicago
Air Canada,PD207,Embraer E190,00:41:00,00:44:00,4,Chicago
Air Canada,PD152,ATR 72,00:41:00,00:44:00,5,Chicago
Porter Airlines,PD110,Embraer E190,00:42:00,00:45:00,6,New York
WestJet,PD894,ATR 72,00:44:00,00:46:00,1,Montreal
Air Canada,PD804,Embraer E190,00:44:00,00:45:00,2,Boston
WestJet,PD531,ATR 72,00:44:00,00:45:00,3,Boston
WestJet,PD656,Embraer E190,00:45:00,00:48:00,4,Ottawa
Air Canada,PD626,ATR 72,00:45:00,00:48:00,5,Boston
Air Canada,PD208,Embraer E190,00:46:00,00:48:00,6,Chicago
WestJet,PD466,ATR 72,00:48:00,00:49:00,1,Boston
Porter Airlines,PD944,Embraer E190,00:48:00,00:50:00,2,Montreal
Porter Airlines,PD136,ATR 72,00:48:00,00:49:00,3,Montreal
Porter Airlines,PD133,Embraer E190,00:49:00,00:52:00,4,Washington
Air Canada,PD317,ATR 72,00:49:00,00:50:00,5,Montreal
WestJet,PD120,Embraer E190,00:50:00,00:52:00,6,New York
Air Canada,PD746,ATR 72,00:52:00,00:55:00,1,Boston
Air Canada,PD371,Embraer E190,00:52:00,00:53:00,2,Boston
Air Canada,PD206,ATR 72,00:52:00,00:53:00,3,Washington
Air Canada,PD430,Embraer E190,00:53:00,00:56:00,4,Chicago
Air Canada,PD838,ATR 72,00:53:00,00:54:00,5,Chicago
Porter Airlines,PD924,Embraer E190,00:54:00,00:57:00,6,Chicago
Porter Airlines,PD353,ATR 72,00:56:00,00:58:00,1,Chicago
Air Canada,PD320,Embraer E190,00:56:00,00:57:00,2,Montreal
WestJet,PD137,ATR 72,00:56:00,00:57:00,3,Ottawa
Air Canada,PD828,Embraer E190,00:57:00,00:58:00,4,Chicago
WestJet,PD742,ATR 72,00:57:00,00:58:00,5,Chicago
Porter Airlines,PD935,Embraer E190,00:58:00,01:00:00,6,Washington
WestJet,PD428,ATR 72,01:00:00,01:03:00,1,Washington
Porter Airlines,PD713,Embraer E190,01:00:00,01:01:00,2,Washington
Air Canada,PD116,ATR 72,01:00:00,01:01:00,3,New York
Air Canada,PD365,Embraer E190,01:01:00,01:02:00,4,Ottawa
Air Canada,PD814,ATR 72,01:01:00,01:02:00,5,Chicago
WestJet,PD669,Embraer E190,01:02:00,01:04:00,6,Washington
Porter Airlines,PD561,ATR 72,01:04:00,01:05:00,1,Boston
Air Canada,PD621,Embraer E190,01:04:00,01:06:00,2,Chicago
Air Canada,PD815,ATR 72,01:04:00,01:07:00,3,Washington
WestJet,PD419,Embraer E190,01:05:00,01:06:00,4,Chicago
Air Canada,PD932,ATR 72,01:05:00,01:06:00,5,Ottawa
WestJet,PD988,Embraer E190,01:06:00,01:09:00,6,Montreal
Porter Airlines,PD206,ATR 72,01:08:00,01:11:00,1,Ottawa
Porter Airlines,PD382,Embraer E190,01:08:00,01:09:00,2,Ottawa
WestJet,PD339,ATR 72,01:08:00,01:11:00,3,New York
Air Canada,PD602,Embraer E190,01:09:00,01:10:00,4,New York
Air Canada,PD826,ATR 72,01:09:00,01:11:00,5,Washington
Porter Airlines,PD978,Embraer E190,01:10:00,01:13:00,6,Washington
WestJet,PD225,ATR 72,01:12:00,01:15:00,1,Boston
WestJet,PD322,Embraer E190,01:12:00,01:13:00,2,Chicago
Porter Airlines,PD324,ATR 72,01:12:00,01:14:00,3,Boston
Porter Airlines,PD846,Embraer E190,01:13:00,01:16:00,4,Chicago
Porter Airlines,PD794,ATR 72,01:13:00,01:15:00,5,Montreal
Porter Airlines,PD225,Embraer E190,01:14:00,01:16:00,6,Washington
Air Canada,PD338,ATR 72,01:16:00,01:17:00,1,Ottawa
Porter Airlines,PD882,Embraer E190,01:16:00,01:19:00,2,Montreal
Air Canada,PD239,ATR 72,01:16:00,01:19:00,3,Ottawa
WestJet,PD317,Embraer E190,01:17:00,01:20:00,4,New York
Porter Airlines,PD175,ATR 72,01:17:00,01:18:00,5,Boston
Air Canada,PD131,Embraer E190,01:18:00,01:19:00,6,Montreal
Porter Airlines,PD742,ATR 72,01:20:00,01:22:00,1,Montreal
Air Canada,PD185,Embraer E190,01:20:00,01:21:00,2,Chicago
Porter Airlines,PD979,ATR 72,01:20:00,01:23:00,3,Chicago
Air Canada,PD121,Embraer E190,01:21:00,01:22:00,4,Chicago
WestJet,PD796,ATR 72,01:21:00,01:24:00,5,Boston
WestJet,PD710,Embraer E190,01:22:00,01:23:00,6,Chicago
Porter Airlines,PD688,ATR 72,01:24:00,01:26:00,1,Chicago
Air Canada,PD122,Embraer E190,01:24:00,01:26:00,2,Boston
Air Canada,PD487,ATR 72,01:24:00,01:27:00,3,Ottawa
Air Canada,PD792,Embraer E190,01:25:00,01:27:00,4,New York
Porter Airlines,PD815,ATR 72,01:25:00,01:28:00,5,Boston
Air Canada,PD438,Embraer E190,01:26:00,01:27:00,6,Montreal
Air Canada,PD144,ATR 72,01:28:00,01:29:00,1,Chicago
Porter Airlines,PD359,Embraer E190,01:28:00,01:30:00,2,Montreal
Porter Airlines,PD829,ATR 72,01:28:00,01:31:00,3,Ottawa
WestJet,PD825,Embraer E190,01:29:00,01:30:00,4,Ottawa
WestJet,PD952,ATR 72,01:29:00,01:31:00,5,Chicago
WestJet,PD223,Embraer E190,01:30:00,01:31:00,6,Washington
WestJet,PD160,ATR 72,01:32:00,01:34:00,1,Ottawa
WestJet,PD829,Embraer E190,01:32:00,01:35:00,2,New York
WestJet,PD769,ATR 72,01:32:00,01:34:00,3,Chicago
Air Canada,PD855,Embraer E190,01:33:00,01:35:00,4,Chicago
WestJet,PD663,ATR 72,01:33:00,01:34:00,5,Montreal
Air Canada,PD585,Embraer E190,01:34:00,01:35:00,6,Chicago
WestJet,PD644,ATR 72,01:36:00,01:39:00,1,Boston
WestJet,PD561,Embraer E190,01:36:00,01:39:00,2,New York
Air Canada,PD809,ATR 72,01:36:00,01:39:00,3,Chicago
Air Canada,PD388,Embraer E190,01:37:00,01:40:00,4,Boston
Porter Airlines,PD417,ATR 72,01:37:00,01:39:00,5,Washington
Porter Airlines,PD663,Embraer E190,01:38:00,01:40:00,6,New York
WestJet,PD857,ATR 72,01:40:00,01:43:00,1,New York
Air Canada,PD215,Embraer E190,01:40:00,01:41:00,2,Ottawa
Air Canada,PD167,ATR 72,01:40:00,01:43:00,3,Boston
WestJet,PD470,Embraer E190,01:41:00,01:43:00,4,Boston
Porter Airlines,PD172,ATR 72,01:41:00,01:42:00,5,Montreal
Air Canada,PD926,Embraer E190,01:42:00,01:44:00,6,Ottawa
Porter Airlines,PD202,ATR 72,01:44:00,01:46:00,1,New York
Air Canada,PD362,Embraer E190,01:44:00,01:45:00,2,Washington
Air Canada,PD607,ATR 72,01:44:00,01:46:00,3,Boston
Porter Airlines,PD818,Embraer E190,01:45:00,01:47:00,4,Montreal
WestJet,PD107,ATR 72,01:45:00,01:48:00,5,Chicago
Porter Airlines,PD188,Embraer E190,01:46:00,01:49:00,6,New York
Porter Airlines,PD443,ATR 72,01:48:00,01:51:00,1,Chicago
Porter Airlines,PD909,Embraer E190,01:48:00,01:51:00,2,Montreal
Porter Airlines,PD319,ATR 72,01:48:00,01:51:00,3,Boston
WestJet,PD110,Embraer E190,01:49:00,01:50:00,4,Montreal
Porter Airlines,PD283,ATR 72,01:49:00,01:52:00,5,Ottawa
WestJet,PD678,Embraer E190,01:50:00,01:52:00,6,Ottawa
Air Canada,PD926,ATR 72,01:52:00,01:54:00,1,Washington
Air Canada,PD816,Embraer E190,01:52:00,01:54:00,2,Montreal
Porter Airlines,PD417,ATR 72,01:52:00,01:54:00,3,Washington
Porter Airlines,PD247,Embraer E190,01:53:00,01:55:00,4,New York
Air Canada,PD716,ATR 72,01:53:00,01:56:00,5,Washington
Porter Airlines,PD342,Embraer E190,01:54:00,01:56:00,6,Chicago
Air Canada,PD954,ATR 72,01:56:00,01:57:00,1,Washington
Porter Airlines,PD364,Embraer E190,01:56:00,01:59:00,2,Boston
Porter Airlines,PD614,ATR 72,01:56:00,01:59:00,3,Washington
Air Canada,PD973,Embraer E190,01:57:00,01:59:00,4,Ottawa
Porter Airlines,PD867,ATR 72,01:57:00,01:59:00,5,Washington
WestJet,PD663,Embraer E190,01:58:00,02:00:00,6,Ottawa
Air Canada,PD917,ATR 72,02:00:00,02:03:00,1,Washington
Porter Airlines,PD691,Embraer E190,02:00:00,02:01:00,2,Montreal
WestJet,PD104,ATR 72,02:00:00,02:01:00,3,Ottawa
WestJet,PD476,Embraer E190,02:01:00,02:03:00,4,Chicago
Air Canada,PD253,ATR 72,02:01:00,02:03:00,5,New York
WestJet,PD654,Embraer E190,02:02:00,02:04:00,6,Chicago
Air Canada,PD900,ATR 72,02:04:00,02:05:00,1,Boston
Porter Airlines,PD526,Embraer E190,02:04:00,02:06:00,2,Ottawa
Porter Airlines,PD390,ATR 72,02:04:00,02:06:00,3,New York
WestJet,PD946,Embraer E190,02:05:00,02:08:00,4,Washington
Porter Airlines,PD209,ATR 72,02:05:00,02:07:00,5,Chicago
Air Canada,PD369,Embraer E190,02:06:00,02:07:00,6,Boston
WestJet,PD309,ATR 72,02:08:00,02:11:00,1,Washington
Air Canada,PD501,Embraer E190,02:08:00,02:09:00,2,Montreal
Porter Airlines,PD540,ATR 72,02:08:00,02:09:00,3,Washington
Air Canada,PD843,Embraer E190,02:09:00,02:10:00,4,Montreal
Air Canada,PD376,ATR 72,02:09:00,02:12:00,5,Boston
Air Canada,PD949,Embraer E190,02:10:00,02:11:00,6,Ottawa
Air Canada,PD646,ATR 72,02:12:00,02:14:00,1,Boston
Air Canada,PD551,Embraer E190,02:12:00,02:14:00,2,Boston
Air Canada,PD241,ATR 72,02:12:00,02:15:00,3,Boston
WestJet,PD609,Embraer E190,02:13:00,02:16:00,4,Ottawa
Porter Airlines,PD920,ATR 72,02:13:00,02:16:00,5,Boston
WestJet,PD866,Embraer E190,02:14:00,02:15:00,6,Washington
Air Canada,PD802,ATR 72,02:16:00,02:19:00,1,New York
WestJet,PD365,Embraer E190,02:16:00,02:19:00,2,New York
Porter Airlines,PD953,ATR 72,02:16:00,02:17:00,3,New York
Porter Airlines,PD481,Embraer E190,02:17:00,02:20:00,4,Washington
WestJet,PD393,ATR 72,02:17:00,02:18:00,5,New York
Porter Airlines,PD531,Embraer E190,02:18:00,02:20:00,6,Boston
WestJet,PD725,ATR 72,02:20:00,02:21:00,1,Washington
Porter Airlines,PD250,Embraer E190,02:20:00,02:23:00,2,Chicago
Air Canada,PD152,ATR 72,02:20:00,02:22:00,3,Washington
Air Canada,PD271,Embraer E190,02:21:00,02:23:00,4,Boston
WestJet,PD191,ATR 72,02:21:00,02:22:00,5,Washington
WestJet,PD575,Embraer E190,02:22:00,02:25:00,6,Montreal
WestJet,PD314,ATR 72,02:24:00,02:27:00,1,Washington
Air Canada,PD786,Embraer E190,02:24:00,02:25:00,2,Washington
WestJet,PD678,ATR 72,02:24:00,02:27:00,3,New York
Porter Airlines,PD118,Embraer E190,02:25:00,02:28:00,4,Washington
Porter Airlines,PD569,ATR 72,02:25:00,02:28:00,5,Montreal
Porter Airlines,PD804,Embraer E190,02:26:00,02:27:00,6,New York
Air Canada,PD312,ATR 72,02:28:00,02:31:00,1,Ottawa
Air Canada,PD886,Embraer E190,02:28:00,02:30:00,2,Ottawa
Air Canada,PD515,ATR 72,02:28:00,02:29:00,3,Washington
Air Canada,PD147,Embraer E190,02:29:00,02:31:00,4,Ottawa
Air Canada,PD304,ATR 72,02:29:00,02:32:00,5,Montreal
WestJet,PD713,Embraer E190,02:30:00,02:33:00,6,Boston
Air Canada,PD412,ATR 72,02:32:00,02:34:00,1,Chicago
WestJet,PD714,Embraer E190,02:32:00,02:33:00,2,New York
Air Canada,PD759,ATR 72,02:32:00,02:33:00,3,Ottawa
Porter Airlines,PD777,Embraer E190,02:33:00,02:34:00,4,Boston
Air Canada,PD406,ATR 72,02:33:00,02:36:00,5,New York
WestJet,PD539,Embraer E190,02:34:00,02:35:00,6,Montreal
Porter Airlines,PD314,ATR 72,02:36:00,02:37:00,1,Boston
Porter Airlines,PD559,Embraer E190,02:36:00,02:38:00,2,Boston
Porter Airlines,PD641,ATR 72,02:36:00,02:39:00,3,Chicago
Air Canada,PD351,Embraer E190,02:37:00,02:40:00,4,New York
Air Canada,PD470,ATR 72,02:37:00,02:39:00,5,Chicago
Air Canada,PD298,Embraer E190,02:38:00,02:41:00,6,Montreal
Porter Airlines,PD423,ATR 72,02:40:00,02:42:00,1,Montreal
Air Canada,PD696,Embraer E190,02:40:00,02:41:00,2,Chicago
WestJet,PD786,ATR 72,02:40:00,02:42:00,3,Ottawa
WestJet,PD998,Embraer E190,02:41:00,02:42:00,4,Washington
Air Canada,PD976,ATR 72,02:41:00,02:42:00,5,Montreal
Porter Airlines,PD975,Embraer E190,02:42:00,02:45:00,6,Montreal
Porter Airlines,PD417,ATR 72,02:44:00,02:46:00,1,Ottawa
Air Canada,PD796,Embraer E190,02:44:00,02:46:00,2,Montreal
Porter Airlines,PD581,ATR 72,02:44:00,02:46:00,3,Boston
Porter Airlines,PD781,Embraer E190,02:45:00,02:47:00,4,Montreal
WestJet,PD184,ATR 72,02:45:00,02:48:00,5,Montreal
Air Canada,PD692,Embraer E190,02:46:00,02:47:00,6,Washington
Porter Airlines,PD821,ATR 72,02:48:00,02:49:00,1,Montreal
Air Canada,PD622,Embraer E190,02:48:00,02:51:00,2,Boston
Air Canada,PD818,ATR 72,02:48:00,02:51:00,3,New York
Air Canada,PD626,Embraer E190,02:49:00,02:52:00,4,Chicago
WestJet,PD566,ATR 72,02:49:00,02:52:00,5,New York
Porter Airlines,PD521,Embraer E190,02:50:00,02:51:00,6,Montreal
Porter Airlines,PD664,ATR 72,02:52:00,02:55:00,1,New York
Air Canada,PD295,Embraer E190,02:52:00,02:55:00,2,Boston
WestJet,PD500,ATR 72,02:52:00,02:53:00,3,Boston
WestJet,PD102,Embraer E190,02:53:00,02:55:00,4,New York
Air Canada,PD918,ATR 72,02:53:00,02:54:00,5,Montreal
Porter Airlines,PD538,Embraer E190,02:54:00,02:57:00,6,Montreal
Porter Airlines,PD477,ATR 72,02:56:00,02:59:00,1,Washington
Air Canada,PD955,Embraer E190,02:56:00,02:57:00,2,Ottawa
Porter Airlines,PD133,ATR 72,02:56:00,02:59:00,3,Montreal
Air Canada,PD482,Embraer E190,02:57:00,02:58:00,4,Chicago
Porter Airlines,PD872,ATR 72,02:57:00,02:59:00,5,Montreal
WestJet,PD969,Embraer E190,02:58:00,03:00:00,6,Ottawa
Air Canada,PD958,ATR 72,03:00:00,03:02:00,1,Boston
Air Canada,PD241,Embraer E190,03:00:00,03:03:00,2,Ottawa
WestJet,PD523,ATR 72,03:00:00,03:02:00,3,Washington
Porter Airlines,PD743,Embraer E190,03:01:00,03:03:00,4,New York
Air Canada,PD274,ATR 72,03:01:00,03:02:00,5,Washington
Porter Airlines,PD859,Embraer E190,03:02:00,03:05:00,6,Montreal
WestJet,PD906,ATR 72,03:04:00,03:07:00,1,Washington
Porter Airlines,PD176,Embraer E190,03:04:00,03:06:00,2,Montreal
Air Canada,PD812,ATR 72,03:04:00,03:06:00,3,Chicago
Air Canada,PD663,Embraer E190,03:05:00,03:07:00,4,Ottawa
WestJet,PD787,ATR 72,03:05:00,03:06:00,5,Chicago
Porter Airlines,PD143,Embraer E190,03:06:00,03:09:00,6,Washington
Air Canada,PD715,ATR 72,03:08:00,03:10:00,1,New York
Air Canada,PD116,Embraer E190,03:08:00,03:11:00,2,Ottawa
Air Canada,PD658,ATR 72,03:08:00,03:11:00,3,Washington
Porter Airlines,PD513,Embraer E190,03:09:00,03:12:00,4,Montreal
Porter Airlines,PD928,ATR 72,03:09:00,03:10:00,5,Chicago
Air Canada,PD656,Embraer E190,03:10:00,03:11:00,6,Chicago
Air Canada,PD135,ATR 72,03:12:00,03:15:00,1,Montreal
Air Canada,PD311,Embraer E190,03:12:00,03:14:00,2,Ottawa
Porter Airlines,PD755,ATR 72,03:12:00,03:15:00,3,Chicago
Porter Airlines,PD470,Embraer E190,03:13:00,03:16:00,4,Boston
Air Canada,PD547,ATR 72,03:13:00,03:16:00,5,Washington
Porter Airlines,PD322,Embraer E190,03:14:00,03:16:00,6,Chicago
Air Canada,PD660,ATR 72,03:16:00,03:17:00,1,Boston
WestJet,PD355,Embraer E190,03:16:00,03:18:00,2,Washington
Porter Airlines,PD713,ATR 72,03:16:00,03:17:00,3,Montreal
Porter Airlines,PD782,Embraer E190,03:17:00,03:20:00,4,New York
Porter Airlines,PD520,ATR 72,03:17:00,03:18:00,5,Montreal
Porter Airlines,PD145,Embraer E190,03:18:00,03:19:00,6,Washington
Air Canada,PD984,ATR 72,03:20:00,03:23:00,1,Washington
Air Canada,PD381,Embraer E190,03:20:00,03:22:00,2,Boston
Air Canada,PD228,ATR 72,03:20:00,03:22:00,3,Washington
Porter Airlines,PD567,Embraer E190,03:21:00,03:23:00,4,Montreal
Porter Airlines,PD711,ATR 72,03:21:00,03:24:00,5,Boston
Porter Airlines,PD731,Embraer E190,03:22:00,03:25:00,6,Montreal
WestJet,PD789,ATR 72,03:24:00,03:26:00,1,Ottawa
Porter Airlines,PD474,Embraer E190,03:24:00,03:27:00,2,Ottawa
Air Canada,PD655,ATR 72,03:24:00,03:27:00,3,Ottawa
Porter Airlines,PD970,Embraer E190,03:25:00,03:27:00,4,Washington
Air Canada,PD653,ATR 72,03:25:00,03:28:00,5,New York
Porter Airlines,PD743,Embraer E190,03:26:00,03:28:00,6,Washington
WestJet,PD870,ATR 72,03:28:00,03:31:00,1,Chicago
WestJet,PD869,Embraer E190,03:28:00,03:30:00,2,Montreal
Air Canada,PD392,ATR 72,03:28:00,03:29:00,3,New York
WestJet,PD951,Embraer E190,03:29:00,03:32:00,4,Boston
WestJet,PD596,ATR 72,03:29:00,03:31:00,5,Washington
Porter Airlines,PD963,Embraer E190,03:30:00,03:33:00,6,Montreal
Porter Airlines,PD232,ATR 72,03:32:00,03:35:00,1,Montreal
WestJet,PD335,Embraer E190,03:32:00,03:34:00,2,Chicago
Air Canada,PD512,ATR 72,03:32:00,03:35:00,3,Washington
Porter Airlines,PD991,Embraer E190,03:33:00,03:34:00,4,Boston
WestJet,PD809,ATR 72,03:33:00,03:36:00,5,Boston
Porter Airlines,PD411,Embraer E190,03:34:00,03:35:00,6,Washington
Porter Airlines,PD133,ATR 72,03:36:00,03:37:00,1,Chicago
WestJet,PD998,Embraer E190,03:36:00,03:37:00,2,New York
WestJet,PD375,ATR 72,03:36:00,03:39:00,3,Chicago
Porter Airlines,PD975,Embraer E190,03:37:00,03:38:00,4,Montreal
WestJet,PD583,ATR 72,03:37:00,03:39:00,5,New York
WestJet,PD580,Embraer E190,03:38:00,03:40:00,6,Montreal
WestJet,PD848,ATR 72,03:40:00,03:42:00,1,Washington
Air Canada,PD158,Embraer E190,03:40:00,03:42:00,2,Chicago
Porter Airlines,PD354,ATR 72,03:40:00,03:41:00,3,Washington
WestJet,PD424,Embraer E190,03:41:00,03:43:00,4,Ottawa
Air Canada,PD949,ATR 72,03:41:00,03:42:00,5,New York
WestJet,PD433,Embraer E190,03:42:00,03:45:00,6,New York
WestJet,PD435,ATR 72,03:44:00,03:47:00,1,Ottawa
WestJet,PD891,Embraer E190,03:44:00,03:47:00,2,Montreal
Porter Airlines,PD827,ATR 72,03:44:00,03:45:00,3,Chicago
Porter Airlines,PD218,Embraer E190,03:45:00,03:46:00,4,Boston
Air Canada,PD317,ATR 72,03:45:00,03:48:00,5,New York
Porter Airlines,PD158,Embraer E190,03:46:00,03:49:00,6,Montreal
WestJet,PD996,ATR 72,03:48:00,03:51:00,1,Boston
Porter Airlines,PD441,Embraer E190,03:48:00,03:51:00,2,Montreal
Porter Airlines,PD167,ATR 72,03:48:00,03:49:00,3,New York
WestJet,PD868,Embraer E190,03:49:00,03:51:00,4,New York
Porter Airlines,PD528,ATR 72,03:49:00,03:51:00,5,Boston
Air Canada,PD122,Embraer E190,03:50:00,03:51:00,6,Montreal
Air Canada,PD908,ATR 72,03:52:00,03:53:00,1,New York
Air Canada,PD319,Embraer E190,03:52:00,03:54:00,2,Ottawa
Porter Airlines,PD171,ATR 72,03:52:00,03:53:00,3,Ottawa
Air Canada,PD427,Embraer E190,03:53:00,03:54:00,4,Montreal
Air Canada,PD539,ATR 72,03:53:00,03:54:00,5,Boston
Porter Airlines,PD450,Embraer E190,03:54:00,03:55:00,6,Boston
Porter Airlines,PD287,ATR 72,03:56:00,03:59:00,1,Ottawa
WestJet,PD661,Embraer E190,03:56:00,03:59:00,2,Chicago
Air Canada,PD802,ATR 72,03:56:00,03:58:00,3,New York
Air Canada,PD491,Embraer E190,03:57:00,04:00:00,4,Montreal
Porter Airlines,PD318,ATR 72,03:57:00,04:00:00,5,Montreal
WestJet,PD522,Embraer E190,03:58:00,04:00:00,6,Washington
Porter Airlines,PD165,ATR 72,04:00:00,04:03:00,1,Boston
WestJet,PD282,Embraer E190,04:00:00,04:02:00,2,Washington
Porter Airlines,PD243,ATR 72,04:00:00,04:03:00,3,New York
WestJet,PD459,Embraer E190,04:01:00,04:02:00,4,Washington
Air Canada,PD106,ATR 72,04:01:00,04:02:00,5,New York
Air Canada,PD456,Embraer E190,04:02:00,04:05:00,6,Montreal
Porter Airlines,PD593,ATR 72,04:04:00,04:06:00,1,Boston
Porter Airlines,PD261,Embraer E190,04:04:00,04:05:00,2,Ottawa
Porter Airlines,PD668,ATR 72,04:04:00,04:07:00,3,Ottawa
WestJet,PD918,Embraer E190,04:05:00,04:06:00,4,Ottawa
Porter Airlines,PD122,ATR 72,04:05:00,04:06:00,5,Washington
Air Canada,PD742,Embraer E190,04:06:00,04:08:00,6,New York
Air Canada,PD993,ATR 72,04:08:00,04:09:00,1,Montreal
Air Canada,PD746,Embraer E190,04:08:00,04:10:00,2,New York
Porter Airlines,PD208,ATR 72,04:08:00,04:10:00,3,Ottawa
Porter Airlines,PD352,Embraer E190,04:09:00,04:12:00,4,Chicago
Air Canada,PD752,ATR 72,04:09:00,04:11:00,5,Ottawa
Porter Airlines,PD725,Embraer E190,04:10:00,04:13:00,6,Boston
Porter Airlines,PD469,ATR 72,04:12:00,04:15:00,1,Washington
Porter Airlines,PD933,Embraer E190,04:12:00,04:15:00,2,New York
Porter Airlines,PD112,ATR 72,04:12:00,04:13:00,3,Chicago
Porter Airlines,PD311,Embraer E190,04:13:00,04:14:00,4,New York
Air Canada,PD276,ATR 72,04:13:00,04:15:00,5,Ottawa
Porter Airlines,PD201,Embraer E190,04:14:00,04:15:00,6,Boston
WestJet,PD347,ATR 72,04:16:00,04:17:00,1,Ottawa
Porter Airlines,PD773,Embraer E190,04:16:00,04:18:00,2,Montreal
Porter Airlines,PD187,ATR 72,04:16:00,04:17:00,3,New York
Air Canada,PD352,Embraer E190,04:17:00,04:19:00,4,Montreal
WestJet,PD554,ATR 72,04:17:00,04:20:00,5,Washington
WestJet,PD805,Embraer E190,04:18:00,04:20:00,6,Montreal
Porter Airlines,PD192,ATR 72,04:20:00,04:21:00,1,Boston
WestJet,PD500,Embraer E190,04:20:00,04:22:00,2,Chicago
