Airline Name,Flight Number,Plane Model,Boarding Time,Departure Time,Gate Number,Destination
Air Canada,PD928,Embraer E190,00:41:00,00:43:00,6,Ottawa
WestJet,PD136,ATR 72,00:43:00,00:44:00,5,Boston
Air Canada,PD206,Embraer E190,00:43:00,00:44:00,6,Chicago
Air Canada,PD936,ATR 72,00:43:00,00:45:00,5,Boston
Air Canada,PD972,ATR 72,00:41:00,00:45:00,1,New York
Air Canada,PD737,Embraer E190,00:43:00,00:46:00,4,Chicago
Porter Airlines,PD175,ATR 72,00:45:00,00:46:00,5,Boston
Air Canada,PD270,ATR 72,00:43:00,00:47:00,5,Boston
Porter Airlines,PD798,ATR 72,00:43:00,00:47:00,3,Washington
Air Canada,PD901,ATR 72,00:45:00,00:48:00,1,Ottawa
Air Canada,PD969,ATR 72,00:45:00,00:48:00,3,Washington
WestJet,PD815,ATR 72,00:48:00,00:49:00,5,Chicago
Porter Airlines,PD347,Embraer E190,00:48:00,00:49:00,6,Boston
Air Canada,PD200,Embraer E190,00:48:00,00:50:00,4,Montreal
Air Canada,PD926,Embraer E190,00:46:00,00:50:00,2,Chicago
WestJet,PD169,Embraer E190,00:47:00,00:51:00,2,Chicago
WestJet,PD232,ATR 72,00:49:00,00:51:00,1,Washington
WestJet,PD941,ATR 72,00:50:00,00:52:00,5,Montreal
Porter Airlines,PD500,Embraer E190,00:48:00,00:52:00,4,Ottawa
WestJet,PD169,ATR 72,00:50:00,00:53:00,5,Chicago
WestJet,PD966,ATR 72,00:51:00,00:53:00,3,Chicago
WestJet,PD136,ATR 72,00:53:00,00:54:00,1,New York
WestJet,PD692,Embraer E190,00:53:00,00:54:00,2,Montreal
WestJet,PD465,ATR 72,00:54:00,00:55:00,5,Washington
Air Canada,PD665,ATR 72,00:51:00,00:55:00,1,Boston
Air Canada,PD599,ATR 72,00:53:00,00:56:00,3,Chicago
WestJet,PD311,ATR 72,00:52:00,00:56:00,1,Boston
Air Canada,PD353,Embraer E190,00:54:00,00:57:00,4,New York
Porter Airlines,PD573,ATR 72,00:55:00,00:57:00,1,Montreal
WestJet,PD925,Embraer E190,00:56:00,00:58:00,4,Washington
Air Canada,PD474,ATR 72,00:54:00,00:58:00,5,New York
Porter Airlines,PD632,ATR 72,00:58:00,00:59:00,3,Washington
Porter Airlines,PD961,ATR 72,00:57:00,00:59:00,5,Washington
WestJet,PD187,ATR 72,00:59:00,01:00:00,3,Ottawa
Air Canada,PD638,Embraer E190,00:59:00,01:00:00,4,Montreal
WestJet,PD487,Embraer E190,00:58:00,01:01:00,2,Ottawa
Porter Airlines,PD419,Embraer E190,00:58:00,01:01:00,6,Boston
WestJet,PD931,Embraer E190,00:59:00,01:02:00,2,Ottawa
WestJet,PD571,ATR 72,00:58:00,01:02:00,3,Chicago
WestJet,PD921,Embraer E190,01:01:00,01:03:00,6,Montreal
Porter Airlines,PD892,Embraer E190,01:00:00,01:03:00,2,Chicago
Air Canada,PD991,Embraer E190,01:01:00,01:04:00,6,Washington
Air Canada,PD225,Embraer E190,01:00:00,01:04:00,2,Washington
Air Canada,PD418,Embraer E190,01:01:00,01:05:00,4,New York
WestJet,PD899,Embraer E190,01:01:00,01:05:00,6,New York
WestJet,PD828,Embraer E190,01:03:00,01:06:00,6,New York
Air Canada,PD464,ATR 72,01:03:00,01:06:00,3,New York
Air Canada,PD636,ATR 72,01:05:00,01:07:00,1,New York
Air Canada,PD684,ATR 72,01:05:00,01:07:00,5,Ottawa
Porter Airlines,PD565,Embraer E190,01:06:00,01:08:00,2,Montreal
Air Canada,PD551,ATR 72,01:04:00,01:08:00,1,Ottawa
Air Canada,PD555,ATR 72,01:05:00,01:09:00,1,Montreal
Porter Airlines,PD954,Embraer E190,01:05:00,01:09:00,4,Ottawa
Air Canada,PD530,ATR 72,01:06:00,01:10:00,1,New York
Porter Airlines,PD410,ATR 72,01:09:00,01:10:00,3,Washington
Air Canada,PD824,ATR 72,01:10:00,01:11:00,3,Chicago
Porter Airlines,PD627,Embraer E190,01:09:00,01:11:00,6,New York
WestJet,PD699,Embraer E190,01:10:00,01:12:00,4,Washington
Porter Airlines,PD650,Embraer E190,01:08:00,01:12:00,6,Chicago
WestJet,PD656,ATR 72,01:12:00,01:13:00,3,Boston
WestJet,PD536,ATR 72,01:10:00,01:13:00,5,Washington
WestJet,PD616,Embraer E190,01:11:00,01:14:00,4,Ottawa
WestJet,PD615,ATR 72,01:13:00,01:14:00,5,New York
Porter Airlines,PD499,ATR 72,01:12:00,01:15:00,5,Washington
WestJet,PD163,ATR 72,01:14:00,01:15:00,3,Chicago
WestJet,PD724,Embraer E190,01:15:00,01:16:00,2,Montreal
WestJet,PD200,ATR 72,01:15:00,01:16:00,5,Washington
WestJet,PD143,ATR 72,01:16:00,01:17:00,5,Boston
Air Canada,PD490,Embraer E190,01:14:00,01:17:00,2,Montreal
WestJet,PD914,ATR 72,01:17:00,01:18:00,1,New York
Air Canada,PD432,ATR 72,01:17:00,01:18:00,5,Montreal
WestJet,PD656,Embraer E190,01:18:00,01:19:00,6,Chicago
Air Canada,PD454,ATR 72,01:18:00,01:19:00,1,Boston
WestJet,PD329,ATR 72,01:18:00,01:20:00,1,New York
WestJet,PD433,Embraer E190,01:16:00,01:20:00,6,Montreal
Air Canada,PD136,Embraer E190,01:17:00,01:21:00,4,Washington
Porter Airlines,PD950,ATR 72,01:17:00,01:21:00,3,Washington
WestJet,PD545,Embraer E190,01:18:00,01:22:00,6,Montreal
WestJet,PD357,Embraer E190,01:21:00,01:22:00,2,Ottawa
WestJet,PD845,ATR 72,01:19:00,01:23:00,3,Montreal
Air Canada,PD946,Embraer E190,01:22:00,01:23:00,4,Montreal
Porter Airlines,PD383,ATR 72,01:20:00,01:24:00,5,Chicago
Porter Airlines,PD304,Embraer E190,01:20:00,01:24:00,6,Boston
Porter Airlines,PD967,Embraer E190,01:24:00,01:25:00,4,Chicago
Porter Airlines,PD944,Embraer E190,01:22:00,01:25:00,2,Montreal
Porter Airlines,PD204,Embraer E190,01:23:00,01:26:00,6,Chicago
Air Canada,PD313,ATR 72,01:22:00,01:26:00,1,Chicago
Air Canada,PD937,Embraer E190,01:26:00,01:27:00,2,New York
WestJet,PD268,Embraer E190,01:23:00,01:27:00,6,Washington
Air Canada,PD735,Embraer E190,01:27:00,01:28:00,2,Washington
Porter Airlines,PD671,Embraer E190,01:26:00,01:28:00,6,Ottawa
Air Canada,PD511,ATR 72,01:28:00,01:29:00,1,Chicago
Air Canada,PD788,Embraer E190,01:26:00,01:29:00,2,Ottawa
Air Canada,PD897,Embraer E190,01:27:00,01:30:00,2,Boston
Porter Airlines,PD411,ATR 72,01:29:00,01:30:00,5,Chicago
Porter Airlines,PD622,Embraer E190,01:27:00,01:31:00,2,Ottawa
Air Canada,PD779,ATR 72,01:30:00,01:31:00,3,Chicago
Porter Airlines,PD689,ATR 72,01:28:00,01:32:00,5,Chicago
Air Canada,PD894,ATR 72,01:28:00,01:32:00,1,Boston
Porter Airlines,PD489,ATR 72,01:29:00,01:33:00,5,Chicago
Porter Airlines,PD216,Embraer E190,01:31:00,01:33:00,2,Ottawa
WestJet,PD203,Embraer E190,01:31:00,01:34:00,6,New York
Air Canada,PD960,ATR 72,01:31:00,01:34:00,3,Boston
WestJet,PD956,ATR 72,01:34:00,01:35:00,1,Washington
Porter Airlines,PD404,Embraer E190,01:31:00,01:35:00,2,Washington
Air Canada,PD334,Embraer E190,01:33:00,01:36:00,4,New York
Porter Airlines,PD245,ATR 72,01:35:00,01:36:00,5,New York
Porter Airlines,PD305,ATR 72,01:35:00,01:37:00,5,Montreal
Porter Airlines,PD697,Embraer E190,01:34:00,01:37:00,4,Ottawa
WestJet,PD472,ATR 72,01:35:00,01:38:00,3,Montreal
Porter Airlines,PD908,Embraer E190,01:35:00,01:38:00,4,New York
Air Canada,PD692,Embraer E190,01:37:00,01:39:00,6,Boston
WestJet,PD205,Embraer E190,01:37:00,01:39:00,4,Ottawa
WestJet,PD667,Embraer E190,01:38:00,01:40:00,4,New York
WestJet,PD165,ATR 72,01:37:00,01:40:00,3,Montreal
Air Canada,PD397,ATR 72,01:39:00,01:41:00,3,Washington
Porter Airlines,PD512,Embraer E190,01:40:00,01:41:00,4,Washington
WestJet,PD893,ATR 72,01:40:00,01:42:00,3,Washington
Air Canada,PD706,Embraer E190,01:41:00,01:42:00,4,Chicago
Porter Airlines,PD774,ATR 72,01:42:00,01:43:00,1,Ottawa
Porter Airlines,PD273,Embraer E190,01:41:00,01:43:00,6,Chicago
Porter Airlines,PD884,ATR 72,01:41:00,01:44:00,1,Montreal
Porter Airlines,PD401,Embraer E190,01:40:00,01:44:00,2,Boston
Air Canada,PD156,Embraer E190,01:42:00,01:45:00,4,Ottawa
Porter Airlines,PD746,ATR 72,01:42:00,01:45:00,5,Boston
Porter Airlines,PD724,Embraer E190,01:44:00,01:46:00,2,Washington
Porter Airlines,PD542,ATR 72,01:44:00,01:46:00,3,Boston
Air Canada,PD522,ATR 72,01:45:00,01:47:00,5,Montreal
WestJet,PD375,Embraer E190,01:43:00,01:47:00,2,New York
Air Canada,PD171,ATR 72,01:47:00,01:48:00,5,Boston
Porter Airlines,PD533,Embraer E190,01:46:00,01:48:00,2,Boston
Porter Airlines,PD666,ATR 72,01:47:00,01:49:00,3,Ottawa
WestJet,PD261,Embraer E190,01:47:00,01:49:00,4,Montreal
Air Canada,PD207,Embraer E190,01:48:00,01:50:00,2,Chicago
Air Canada,PD199,ATR 72,01:49:00,01:50:00,3,Washington
Air Canada,PD161,ATR 72,01:47:00,01:51:00,1,Ottawa
WestJet,PD984,Embraer E190,01:48:00,01:51:00,4,Washington
Air Canada,PD713,ATR 72,01:48:00,01:52:00,3,Ottawa
Air Canada,PD478,Embraer E190,01:50:00,01:52:00,4,Montreal
Air Canada,PD546,ATR 72,01:50:00,01:53:00,1,Chicago
WestJet,PD387,Embraer E190,01:50:00,01:53:00,6,Montreal
Air Canada,PD794,ATR 72,01:52:00,01:54:00,3,Boston
Air Canada,PD547,Embraer E190,01:50:00,01:54:00,2,Boston
Porter Airlines,PD614,Embraer E190,01:52:00,01:55:00,2,Ottawa
Air Canada,PD654,Embraer E190,01:52:00,01:55:00,4,Washington
WestJet,PD835,ATR 72,01:53:00,01:56:00,3,Chicago
WestJet,PD961,ATR 72,01:53:00,01:56:00,5,Washington
Air Canada,PD148,Embraer E190,01:55:00,01:57:00,2,Boston
Air Canada,PD376,ATR 72,01:53:00,01:57:00,5,Chicago
Air Canada,PD113,ATR 72,01:55:00,01:58:00,3,New York
Porter Airlines,PD796,Embraer E190,01:57:00,01:58:00,4,Washington
Porter Airlines,PD775,Embraer E190,01:58:00,01:59:00,2,Washington
WestJet,PD847,Embraer E190,01:55:00,01:59:00,6,Ottawa
WestJet,PD591,ATR 72,01:58:00,02:00:00,3,Boston
Air Canada,PD418,ATR 72,01:58:00,02:00:00,1,Ottawa
Air Canada,PD454,Embraer E190,01:58:00,02:01:00,2,Boston
Air Canada,PD941,ATR 72,01:59:00,02:01:00,5,Montreal
Air Canada,PD860,Embraer E190,02:01:00,02:02:00,4,Washington
Porter Airlines,PD394,ATR 72,02:01:00,02:02:00,5,New York
Porter Airlines,PD374,Embraer E190,02:00:00,02:03:00,6,Boston
Porter Airlines,PD991,Embraer E190,01:59:00,02:03:00,4,Montreal
Air Canada,PD349,ATR 72,02:03:00,02:04:00,3,Washington
Air Canada,PD530,ATR 72,02:01:00,02:04:00,1,Washington
Porter Airlines,PD852,Embraer E190,02:04:00,02:05:00,2,Ottawa
Air Canada,PD565,ATR 72,02:04:00,02:05:00,1,Montreal
WestJet,PD220,Embraer E190,02:03:00,02:06:00,2,Chicago
Air Canada,PD816,Embraer E190,02:05:00,02:06:00,4,Montreal
Air Canada,PD871,ATR 72,02:03:00,02:07:00,1,Washington
WestJet,PD845,Embraer E190,02:04:00,02:07:00,4,Boston
Air Canada,PD476,Embraer E190,02:06:00,02:08:00,6,New York
Porter Airlines,PD911,ATR 72,02:06:00,02:08:00,3,New York
WestJet,PD476,ATR 72,02:05:00,02:09:00,3,Montreal
WestJet,PD942,Embraer E190,02:07:00,02:09:00,6,New York
Air Canada,PD118,ATR 72,02:08:00,02:10:00,3,Montreal
WestJet,PD570,Embraer E190,02:09:00,02:10:00,4,Ottawa
Porter Airlines,PD154,Embraer E190,02:08:00,02:11:00,2,New York
Air Canada,PD341,Embraer E190,02:09:00,02:11:00,4,Ottawa
Air Canada,PD347,ATR 72,02:09:00,02:12:00,5,Washington
WestJet,PD596,Embraer E190,02:11:00,02:12:00,4,Chicago
Air Canada,PD709,ATR 72,02:11:00,02:13:00,3,Washington
WestJet,PD849,Embraer E190,02:11:00,02:13:00,2,New York
Air Canada,PD303,ATR 72,02:11:00,02:14:00,1,Chicago
Porter Airlines,PD286,Embraer E190,02:11:00,02:14:00,6,Washington
Air Canada,PD173,Embraer E190,02:12:00,02:15:00,6,New York
WestJet,PD438,Embraer E190,02:14:00,02:15:00,4,Boston
WestJet,PD817,ATR 72,02:15:00,02:16:00,3,Ottawa
WestJet,PD838,Embraer E190,02:15:00,02:16:00,4,Boston
WestJet,PD656,ATR 72,02:14:00,02:17:00,1,Washington
Porter Airlines,PD952,Embraer E190,02:14:00,02:17:00,6,Chicago
Porter Airlines,PD477,Embraer E190,02:15:00,02:18:00,6,Ottawa
WestJet,PD495,ATR 72,02:14:00,02:18:00,1,New York
Air Canada,PD490,ATR 72,02:17:00,02:19:00,5,Washington
Air Canada,PD242,Embraer E190,02:17:00,02:19:00,2,Chicago
Air Canada,PD925,Embraer E190,02:19:00,02:20:00,4,Ottawa
Porter Airlines,PD970,ATR 72,02:16:00,02:20:00,5,Chicago
WestJet,PD221,Embraer E190,02:17:00,02:21:00,4,Washington
WestJet,PD819,ATR 72,02:18:00,02:21:00,5,Washington
Air Canada,PD105,ATR 72,02:18:00,02:22:00,1,Boston
WestJet,PD493,Embraer E190,02:20:00,02:22:00,4,Ottawa
Porter Airlines,PD865,Embraer E190,02:20:00,02:23:00,2,Boston
WestJet,PD675,Embraer E190,02:21:00,02:23:00,6,Chicago
WestJet,PD560,Embraer E190,02:23:00,02:24:00,2,Montreal
Porter Airlines,PD696,Embraer E190,02:22:00,02:24:00,4,Chicago
Air Canada,PD319,ATR 72,02:22:00,02:25:00,1,Ottawa
Air Canada,PD797,Embraer E190,02:24:00,02:25:00,4,Boston
Air Canada,PD104,ATR 72,02:22:00,02:26:00,3,New York
Air Canada,PD308,Embraer E190,02:23:00,02:26:00,6,Montreal
Porter Airlines,PD654,ATR 72,02:25:00,02:27:00,1,Ottawa
Porter Airlines,PD563,Embraer E190,02:24:00,02:27:00,6,Montreal
Porter Airlines,PD708,ATR 72,02:24:00,02:28:00,1,Ottawa
Air Canada,PD617,Embraer E190,02:26:00,02:28:00,6,Washington
Porter Airlines,PD978,Embraer E190,02:28:00,02:29:00,6,Boston
Air Canada,PD246,ATR 72,02:26:00,02:29:00,3,Chicago
Porter Airlines,PD406,Embraer E190,02:27:00,02:30:00,6,Montreal
Air Canada,PD588,ATR 72,02:28:00,02:30:00,1,New York
Porter Airlines,PD844,ATR 72,02:29:00,02:31:00,5,Washington
WestJet,PD204,ATR 72,02:29:00,02:31:00,3,Washington
Porter Airlines,PD590,Embraer E190,02:30:00,02:32:00,2,Washington
Air Canada,PD133,ATR 72,02:30:00,02:32:00,5,Boston
Porter Airlines,PD217,ATR 72,02:31:00,02:33:00,5,Boston
Air Canada,PD602,ATR 72,02:32:00,02:33:00,1,Boston
Air Canada,PD318,Embraer E190,02:31:00,02:34:00,6,Washington
WestJet,PD892,ATR 72,02:32:00,02:34:00,3,New York
Air Canada,PD517,ATR 72,02:31:00,02:35:00,3,Washington
Air Canada,PD915,ATR 72,02:34:00,02:35:00,1,Chicago
Air Canada,PD458,Embraer E190,02:34:00,02:36:00,6,Washington
Air Canada,PD888,Embraer E190,02:34:00,02:36:00,4,Ottawa
Porter Airlines,PD825,Embraer E190,02:36:00,02:37:00,6,Chicago
WestJet,PD645,Embraer E190,02:33:00,02:37:00,4,Boston
Air Canada,PD996,ATR 72,02:37:00,02:38:00,5,Boston
Porter Airlines,PD443,Embraer E190,02:36:00,02:38:00,4,Washington
Air Canada,PD800,ATR 72,02:35:00,02:39:00,5,Ottawa
Porter Airlines,PD466,ATR 72,02:37:00,02:39:00,3,Washington
Air Canada,PD585,ATR 72,02:38:00,02:40:00,3,Washington
Porter Airlines,PD439,Embraer E190,02:37:00,02:40:00,6,Boston
Air Canada,PD136,Embraer E190,02:38:00,02:41:00,2,New York
WestJet,PD536,ATR 72,02:38:00,02:41:00,5,Chicago
WestJet,PD196,Embraer E190,02:39:00,02:42:00,6,New York
Porter Airlines,PD605,ATR 72,02:41:00,02:42:00,3,Chicago
WestJet,PD224,ATR 72,02:40:00,02:43:00,3,Ottawa
Air Canada,PD894,Embraer E190,02:41:00,02:43:00,6,Washington
WestJet,PD183,ATR 72,02:43:00,02:44:00,1,Washington
WestJet,PD106,Embraer E190,02:43:00,02:44:00,6,Montreal
Porter Airlines,PD488,ATR 72,02:42:00,02:45:00,1,Chicago
WestJet,PD912,ATR 72,02:41:00,02:45:00,5,Ottawa
Air Canada,PD444,ATR 72,02:43:00,02:46:00,5,Chicago
Air Canada,PD869,ATR 72,02:45:00,02:46:00,3,New York
Porter Airlines,PD538,ATR 72,02:44:00,02:47:00,1,Montreal
Porter Airlines,PD345,Embraer E190,02:44:00,02:47:00,6,Boston
Porter Airlines,PD409,Embraer E190,02:44:00,02:48:00,6,Boston
Air Canada,PD986,ATR 72,02:46:00,02:48:00,1,Chicago
WestJet,PD358,ATR 72,02:46:00,02:49:00,1,Ottawa
Porter Airlines,PD708,Embraer E190,02:46:00,02:49:00,2,Boston
Porter Airlines,PD492,ATR 72,02:49:00,02:50:00,3,Boston
WestJet,PD223,Embraer E190,02:48:00,02:50:00,2,Washington
WestJet,PD401,Embraer E190,02:50:00,02:51:00,2,Chicago
Porter Airlines,PD620,ATR 72,02:47:00,02:51:00,5,Boston
Porter Airlines,PD748,ATR 72,02:49:00,02:52:00,1,Washington
Porter Airlines,PD439,ATR 72,02:48:00,02:52:00,5,Washington
Porter Airlines,PD199,ATR 72,02:52:00,02:53:00,5,Boston
WestJet,PD883,Embraer E190,02:50:00,02:53:00,6,Ottawa
WestJet,PD951,Embraer E190,02:51:00,02:54:00,2,Washington
Air Canada,PD185,ATR 72,02:50:00,02:54:00,3,Chicago
Air Canada,PD155,Embraer E190,02:54:00,02:55:00,2,Chicago
WestJet,PD611,ATR 72,02:53:00,02:55:00,5,Chicago
WestJet,PD241,ATR 72,02:52:00,02:56:00,1,New York
WestJet,PD200,Embraer E190,02:52:00,02:56:00,2,Chicago
Porter Airlines,PD460,Embraer E190,02:55:00,02:57:00,2,New York
Porter Airlines,PD542,ATR 72,02:56:00,02:57:00,5,Montreal
WestJet,PD574,ATR 72,02:56:00,02:58:00,5,Montreal
Air Canada,PD991,Embraer E190,02:57:00,02:58:00,2,Montreal
Air Canada,PD422,ATR 72,02:58:00,02:59:00,5,Chicago
Porter Airlines,PD213,Embraer E190,02:56:00,02:59:00,4,Boston
WestJet,PD335,ATR 72,02:59:00,03:00:00,3,Boston
Air Canada,PD967,Embraer E190,02:56:00,03:00:00,2,Chicago
Porter Airlines,PD132,ATR 72,02:59:00,03:01:00,3,Chicago
WestJet,PD473,ATR 72,03:00:00,03:01:00,1,Montreal
WestJet,PD424,Embraer E190,03:01:00,03:02:00,2,Montreal
Air Canada,PD409,ATR 72,03:00:00,03:02:00,1,Ottawa
Air Canada,PD197,ATR 72,02:59:00,03:03:00,1,Chicago
Porter Airlines,PD161,Embraer E190,03:02:00,03:03:00,4,Washington
Porter Airlines,PD418,Embraer E190,03:03:00,03:04:00,4,Montreal
Porter Airlines,PD572,ATR 72,03:03:00,03:04:00,3,Chicago
Air Canada,PD425,ATR 72,03:04:00,03:05:00,5,Chicago
Air Canada,PD221,ATR 72,03:02:00,03:05:00,3,Washington
Air Canada,PD571,Embraer E190,03:02:00,03:06:00,6,New York
WestJet,PD750,Embraer E190,03:05:00,03:06:00,2,Montreal
Air Canada,PD565,ATR 72,03:04:00,03:07:00,3,Washington
Porter Airlines,PD735,Embraer E190,03:06:00,03:07:00,2,Chicago
Porter Airlines,PD962,Embraer E190,03:07:00,03:08:00,4,Washington
Porter Airlines,PD629,ATR 72,03:07:00,03:08:00,3,Boston
WestJet,PD546,Embraer E190,03:08:00,03:09:00,6,Washington
Porter Airlines,PD506,ATR 72,03:06:00,03:09:00,5,New York
Porter Airlines,PD183,ATR 72,03:06:00,03:10:00,5,Montreal
Air Canada,PD359,Embraer E190,03:09:00,03:10:00,6,New York
WestJet,PD981,Embraer E190,03:08:00,03:11:00,2,Washington
Air Canada,PD801,Embraer E190,03:08:00,03:11:00,6,Montreal
Porter Airlines,PD398,ATR 72,03:10:00,03:12:00,1,Ottawa
WestJet,PD745,Embraer E190,03:09:00,03:12:00,6,Montreal
WestJet,PD629,Embraer E190,03:12:00,03:13:00,6,Montreal
Porter Airlines,PD857,ATR 72,03:11:00,03:13:00,3,Ottawa
WestJet,PD780,Embraer E190,03:12:00,03:14:00,2,Ottawa
WestJet,PD198,ATR 72,03:12:00,03:14:00,5,Boston
WestJet,PD207,Embraer E190,03:11:00,03:15:00,4,Ottawa
WestJet,PD585,ATR 72,03:11:00,03:15:00,3,Washington
Air Canada,PD413,ATR 72,03:14:00,03:16:00,5,Montreal
Air Canada,PD589,Embraer E190,03:13:00,03:16:00,2,Washington
